product_url                                                                                                                                                             ,product_name                                                       ,price      ,pack_size         ,inventory_left,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,brand    ,image_urls
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/syrups-concentrate/cordial-drinks/quencher-cordial-cocopine-2l/p/143963                          ,QUENCHER CORDIAL COCOPINE 2L                                       ,KES 285.00 ,                  ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/he5/ha1/17130691690526/143963_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/drink-mixers/quencher-pineapple-drink-2l/p/17342                          ,Quencher Pineapple Drink 2 lt                                      ,KES 279.00 ,2 lt              ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/h48/h3b/12462938128414/17342_Main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/drink-mixers/quencher-lemon-treat-drink-2l/p/17338                        ,Quencher Lemon Treat Drink 2L                                      ,KES 285.00 ,2 lt              ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/had/hbf/16813630259230/17338_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h92/h2d/12462933213214/17338_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/tea/loose-leaf-tea-bags/black-bags/nutfields-aberdare-tea-bags-50g/p/23203                              ,Nutfields Aberdare Tea Bags 50g                                    ,KES 68.00  ,50g               ,              ,"The tea is as refreshing as the scenic Aberdares ridges where it is grown. True Kenyan taste. The Aberdares is selectively hand picked. The tea is produced from the selected gardens for quality, consistency and traceability. It is then packed under the most stringent conditions in an ISO 22000 certified environment, thus ensuring quality and safety. The tea is as refreshing as the scenic Aberdares ridges where it is grown. Enveloped premium blend heat sealed tea bags. 100% Kenya tea."                                                                                                                                                                                                                                                                                                                                                               ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h6e/h99/26931365183518/23203_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h89/h96/26931362562078/23203_1.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h82/h37/26931363217438/23203_2.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h27/h32/26931364200478/23203_3.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/concentrate-fruit-juice/kates-org-aloe-vera-juice-1l/p/1024           ,Kate&#39;s Organic Aloe Vera Juice 1L                              ,KES 694.00 ,1L                ,5             ,"Aloe Vera Juice by Kate's Naturals. Natural and Cold pressed. Made with Organic Aloe Vera Fillet. Liquid Supplement for Drinking (1 Gallon). Kate's Aloe Vera Juice is made with Organic Aloe Vera Fillet with natural ingredients. It can be used for digestion, skin, and hair. Apply on sunburns or skin irritations to moisturize and hydrates skin and face."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hd3/heb/26759228260382/1024_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h29/h82/26759227277342/1024_1.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/tea/loose-leaf-tea-bags/black-loose/sasini-classic-tea-250g/p/48699                                     ,Sasini Loose Tea Leaves 250 gr                                     ,KES 110.00 ,250 gr            ,5             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hc7/hfe/27473683841054/48699_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hdc/hbc/12463324200990/48699_Main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h0d/h8d/15516511141918/48699_1.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/tea/loose-leaf-tea-bags/black-bags/eden-tea-bags-str-tag50g/p/107644                                    ,Eden Tea Bags With Tag 50 gr                                       ,KES 54.00  ,                  ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/he9/hb3/14414460157982/107644_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/tea/loose-leaf-tea-bags/black-loose/melvins-ginger-loose-tea-50g/p/40524                                ,Melvins Ginger Loose Tea 50 gr                                     ,KES 34.00  ,50 gr             ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h8e/hf7/17556891697182/40524_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h93/hc2/12462719565854/40524_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/fruitville-tomato-tetra1l/p/94131                  ,Fruitville Tomato Juice 1L                                         ,KES 214.00 ,1L                ,              ,Fruitville fruit power tomato to provide you with all the health benefits of tomato juice. Tomatoes are a rich source of vitamin a and c and folic acid. They contain a wide array of antioxidants which also help in combating cancer. Fruitville tomato comes without any added colour or preservative. Fruitville tomato is a delight for all tomato lovers for its delicious taste and unmatched nutrition content.                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h4f/he9/17292721258526/94131_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hd1/hf1/12463731245086/94131_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/ribena-blackcurrant-pet-250ml/p/129951             ,RIBENA BLACKCURRANT PET 250ML                                      ,KES 55.00  ,                  ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/h18/h6c/16930330116126/129951_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/coffee/ground-coffee-beans/ground/dormans-gourmet-medium-fine-grd375g/p/87955                           ,Dormans Gourmet Medium Fine Ground Dark Coffee Beans 375g          ,KES 1320.00,375g              ,              ,"Dormans Ground Coffee is a specialty roasted blend that is full bodied with Italian inspired flavors. A barista chooses coffee with the intention of triggering all the sensations in one cup aroma, taste, feel and the passage of time. Comprised of only premium Arabica beans from Central America, South America and Indonesia, we selected this unique blend to offer chocolate and creamy flavors accompanied by a pleasant aroma. This blend is versatile as it is compatible with all coffee and machines. Start your day off on a bright note with Dormans Ground Coffee."                                                                                                                                                                                                                                                                                    ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/h67/h5e/27012051697694/87955_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/water/still-water/keringet-mineral-water-500ml/p/34224                                                  ,Keringet Mineral Water 500Ml                                       ,KES 49.00  ,500 ml            ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h6d/h3e/16813674954782/34224_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hc9/hb1/12462531084318/34224_Main.jpg_200Wx200H']"
